"AMG900"	"Aloxistatin"	"Berberine"	"CA-074.Me"	"Calcitriol"	"Clardribine"	"Cytochalasin.D"	"Dexamethasone"	"Etoposide"	"FCCP"	"Fenbendazole"	"LY2109701"	"LatrunculinB"	"Mebendazole"	"Nicolsamide"	"Nicotinamide"	"Rotenone"	"Staurosporine"	"TC-S7004"	"Tetrandine"	"AMG900:Aloxistatin"	"AMG900:Berberine"	"AMG900:CA-074.Me"	"AMG900:Calcitriol"	"AMG900:Clardribine"	"AMG900:Cytochalasin.D"	"AMG900:Dexamethasone"	"AMG900:Etoposide"	"AMG900:FCCP"	"AMG900:Fenbendazole"	"AMG900:LY2109701"	"AMG900:LatrunculinB"	"AMG900:Mebendazole"	"AMG900:Nicolsamide"	"AMG900:Nicotinamide"	"AMG900:Rotenone"	"AMG900:Staurosporine"	"AMG900:TC-S7004"	"AMG900:Tetrandine"	"Aloxistatin:Berberine"	"Aloxistatin:CA-074.Me"	"Aloxistatin:Calcitriol"	"Aloxistatin:Clardribine"	"Aloxistatin:Cytochalasin.D"	"Aloxistatin:Dexamethasone"	"Aloxistatin:Etoposide"	"Aloxistatin:FCCP"	"Aloxistatin:Fenbendazole"	"Aloxistatin:LY2109701"	"Aloxistatin:LatrunculinB"	"Aloxistatin:Mebendazole"	"Aloxistatin:Nicolsamide"	"Aloxistatin:Nicotinamide"	"Aloxistatin:Rotenone"	"Aloxistatin:Staurosporine"	"Aloxistatin:TC-S7004"	"Aloxistatin:Tetrandine"	"Berberine:CA-074.Me"	"Berberine:Calcitriol"	"Berberine:Clardribine"	"Berberine:Cytochalasin.D"	"Berberine:Dexamethasone"	"Berberine:Etoposide"	"Berberine:FCCP"	"Berberine:Fenbendazole"	"Berberine:LY2109701"	"Berberine:LatrunculinB"	"Berberine:Mebendazole"	"Berberine:Nicolsamide"	"Berberine:Nicotinamide"	"Berberine:Rotenone"	"Berberine:Staurosporine"	"Berberine:TC-S7004"	"Berberine:Tetrandine"	"CA-074.Me:Calcitriol"	"CA-074.Me:Clardribine"	"CA-074.Me:Cytochalasin.D"	"CA-074.Me:Dexamethasone"	"CA-074.Me:Etoposide"	"CA-074.Me:FCCP"	"CA-074.Me:Fenbendazole"	"CA-074.Me:LY2109701"	"CA-074.Me:LatrunculinB"	"CA-074.Me:Mebendazole"	"CA-074.Me:Nicolsamide"	"CA-074.Me:Nicotinamide"	"CA-074.Me:Rotenone"	"CA-074.Me:Staurosporine"	"CA-074.Me:TC-S7004"	"CA-074.Me:Tetrandine"	"Calcitriol:Clardribine"	"Calcitriol:Cytochalasin.D"	"Calcitriol:Dexamethasone"	"Calcitriol:Etoposide"	"Calcitriol:FCCP"	"Calcitriol:Fenbendazole"	"Calcitriol:LY2109701"	"Calcitriol:LatrunculinB"	"Calcitriol:Mebendazole"	"Calcitriol:Nicolsamide"	"Calcitriol:Nicotinamide"	"Calcitriol:Rotenone"	"Calcitriol:Staurosporine"	"Calcitriol:TC-S7004"	"Calcitriol:Tetrandine"	"Clardribine:Cytochalasin.D"	"Clardribine:Dexamethasone"	"Clardribine:Etoposide"	"Clardribine:FCCP"	"Clardribine:Fenbendazole"	"Clardribine:LY2109701"	"Clardribine:LatrunculinB"	"Clardribine:Mebendazole"	"Clardribine:Nicolsamide"	"Clardribine:Nicotinamide"	"Clardribine:Rotenone"	"Clardribine:Staurosporine"	"Clardribine:TC-S7004"	"Clardribine:Tetrandine"	"Cytochalasin.D:Dexamethasone"	"Cytochalasin.D:Etoposide"	"Cytochalasin.D:FCCP"	"Cytochalasin.D:Fenbendazole"	"Cytochalasin.D:LY2109701"	"Cytochalasin.D:LatrunculinB"	"Cytochalasin.D:Mebendazole"	"Cytochalasin.D:Nicolsamide"	"Cytochalasin.D:Nicotinamide"	"Cytochalasin.D:Rotenone"	"Cytochalasin.D:Staurosporine"	"Cytochalasin.D:TC-S7004"	"Cytochalasin.D:Tetrandine"	"Dexamethasone:Etoposide"	"Dexamethasone:FCCP"	"Dexamethasone:Fenbendazole"	"Dexamethasone:LY2109701"	"Dexamethasone:LatrunculinB"	"Dexamethasone:Mebendazole"	"Dexamethasone:Nicolsamide"	"Dexamethasone:Nicotinamide"	"Dexamethasone:Rotenone"	"Dexamethasone:Staurosporine"	"Dexamethasone:TC-S7004"	"Dexamethasone:Tetrandine"	"Etoposide:FCCP"	"Etoposide:Fenbendazole"	"Etoposide:LY2109701"	"Etoposide:LatrunculinB"	"Etoposide:Mebendazole"	"Etoposide:Nicolsamide"	"Etoposide:Nicotinamide"	"Etoposide:Rotenone"	"Etoposide:Staurosporine"	"Etoposide:TC-S7004"	"Etoposide:Tetrandine"	"FCCP:Fenbendazole"	"FCCP:LY2109701"	"FCCP:LatrunculinB"	"FCCP:Mebendazole"	"FCCP:Nicolsamide"	"FCCP:Nicotinamide"	"FCCP:Rotenone"	"FCCP:Staurosporine"	"FCCP:TC-S7004"	"FCCP:Tetrandine"	"Fenbendazole:LY2109701"	"Fenbendazole:LatrunculinB"	"Fenbendazole:Mebendazole"	"Fenbendazole:Nicolsamide"	"Fenbendazole:Nicotinamide"	"Fenbendazole:Rotenone"	"Fenbendazole:Staurosporine"	"Fenbendazole:TC-S7004"	"Fenbendazole:Tetrandine"	"LY2109701:LatrunculinB"	"LY2109701:Mebendazole"	"LY2109701:Nicolsamide"	"LY2109701:Nicotinamide"	"LY2109701:Rotenone"	"LY2109701:Staurosporine"	"LY2109701:TC-S7004"	"LY2109701:Tetrandine"	"LatrunculinB:Mebendazole"	"LatrunculinB:Nicolsamide"	"LatrunculinB:Nicotinamide"	"LatrunculinB:Rotenone"	"LatrunculinB:Staurosporine"	"LatrunculinB:TC-S7004"	"LatrunculinB:Tetrandine"	"Mebendazole:Nicolsamide"	"Mebendazole:Nicotinamide"	"Mebendazole:Rotenone"	"Mebendazole:Staurosporine"	"Mebendazole:TC-S7004"	"Mebendazole:Tetrandine"	"Nicolsamide:Nicotinamide"	"Nicolsamide:Rotenone"	"Nicolsamide:Staurosporine"	"Nicolsamide:TC-S7004"	"Nicolsamide:Tetrandine"	"Nicotinamide:Rotenone"	"Nicotinamide:Staurosporine"	"Nicotinamide:TC-S7004"	"Nicotinamide:Tetrandine"	"Rotenone:Staurosporine"	"Rotenone:TC-S7004"	"Rotenone:Tetrandine"	"Staurosporine:TC-S7004"	"Staurosporine:Tetrandine"	"TC-S7004:Tetrandine"
"MEAN_ObjectShapeP2ACh1"	-0.39843314913785	0.00353976434416316	-0.455795124345213	-0.230306150904088	-0.33903871070784	-0.410403059657206	-0.205880109399723	-0.385704464911265	-1.15592414068538	-0.372229491210815	-0.232340099110532	-0.128727512855325	0.0445270982857146	-0.864659127603425	-0.297894329336461	-0.582939139556725	-0.568707969865513	-0.537235297676286	-0.145167134157379	-0.278777631895681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.836799573052821	0	0	0	-0.328860732554824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.62697046233926	0	0	0	0	0	0	0	0	0	2.12893262514879	0	0	0	0	0	0	0	-0.438715507418761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.580855778316098	0	0	0	0	0	1.07380486749527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.783646914126528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.764313615782863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.20774869281759	0	0	0	0	0	0	-0.631991454870575	0	0	0	0	0	0	0	0	0
"SD_ObjectShapeP2ACh1"	0.595487694744318	-0.154287122219239	-0.533261054518029	-0.0394830084594525	-0.46182242382446	-0.252100261257721	0.90626021121023	0.383107636834202	-1.0280130699227	-0.0475222134212728	-0.769904976678873	0.0499945110797472	1.2294961381181	0.0179217655035977	0.518498669824355	-0.787119949294818	-0.513270313105147	-1.452519768457	0.214056924247334	-0.700134342620431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.90602260723245	0	0	0	-0.246789477798489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90209576461696	-0.849948319773341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.935775523173331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.545389706676709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26260935971518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.31626669656679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SE_ObjectShapeP2ACh1"	0.450261336550384	0.094416833587908	-0.126237130561623	-0.0806250566959215	0.230290371117903	-0.188264561577144	0.489420213527725	0.0153605935424755	-0.350336148252672	0.44701836144824	0.486024833276034	0.256372086638376	0.328003559713767	0.655677597291147	0.279393337219836	-0.0421530886400419	0.214079953851196	-0.0536881655020496	0.354624182676958	0.507542927607502	0	0	0	0	0.761288679285857	0	0	0	0	0	0	0	0	0	0	-0.305195273160443	0	0	0	0	0	0	0	0	0.257537835103239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.68137307230395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.902144419397364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.432228700908987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.872782601150327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CV_ObjectShapeP2ACh1"	0.588262097935252	-0.222735229153396	-0.503640221427845	-0.0487608849363297	-0.545716243660824	-0.400265134530283	0.922869342435867	0.37293067821088	-1.04259732339436	0.100528482586735	-0.771193307603432	-0.0585320375997066	0.966905691347189	-0.102097142229915	0.54563227916474	-0.675080368401659	-0.72596150108678	-1.47275519947422	0.313789424530469	-0.700424975266742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.841058189792918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79738941618119	-0.779196197879247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.874333841946151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.730122182568201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17367111176348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.917660375371042	0	-1.27628402141622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MEAN_ObjectShapeLWRCh1"	-0.711074369491363	-0.0563110207648715	-0.0499967609014105	-0.57569688324263	-0.208282131590104	0.11593588760394	-1.61384703205912	1.27480887849708	-0.798411837132112	-0.871103759369236	-1.47333786276122	1.4170779036498	0.48320153701346	-1.08923479096854	-0.411999486564806	-0.580198687776818	-0.891506509719279	-1.83551400042211	0.0679976346750069	-1.03416207827236	0	-0.648720828994464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.36544074879981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.88039315817537	0	0	1.86768788890689	0	0	0	0	0	0	0	0	0.707897674550658	0	0	0	0	0	0	0.919362036255306	0	0	0	0	0.829725991295138	0.97763655519096	0	0	0	0	0	0	0	-0.545142655398725	0	0	0	0	0	0	0	0	0	0	0	-1.35354638815819	0	0	0	0	0	0	0	0	0	0	0	0	0	0.547365273658896	0	0	-1.18673756417445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142562038803432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.25617655150821	0	0	0	0	0	0	0.0378121538400156	0	0	0	0	0	0	0	0	0
"SD_ObjectShapeLWRCh1"	-0.666776492574806	-0.0392332962474955	-0.675719807160744	-0.213039809333796	-0.349881114739741	-0.388827891774639	-0.445224013365758	-0.34098499837794	-0.956261302168717	-0.358517006076996	-0.449092458890993	-0.401043502922352	0	-0.524219915096769	-0.267898955111735	-0.625342457159497	-0.551515669801678	-0.549073859389376	-0.0997925051847537	-0.3935479453197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17326988483178	0	0	0	0	0	0	0	0	1.02544898036885	0	0	-1.51255044055674	0	0	0	0	0	0	0	0	0	2.3994960181754	0	0	0	0	0	0	0	-0.637728898408837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.786633060626882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.67053123181406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SE_ObjectShapeLWRCh1"	0.327443130158011	0.151488930090309	0.397057158185892	0.301413915266461	0.495848106437731	0.169410660404425	0.337800079660606	0.317918011550283	0.237689427948936	0.606621498933511	0.311159240801134	0.344187992152736	0.336763675757465	0.331551805953436	0.339990993200119	0.404225827978106	0.432736718947825	0.328623133820437	0.266281959519312	0.45115670477595	0	-0.426652851310403	0	0	0.982499958820838	0	0	0	0	0	0	0	0	0	0	-0.34400572040694	0	0	1.29228952104578	0	0	0	-0.262087007583453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92715052596813	0	0	0	0.887031168577516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.601238986517022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229938432516928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CV_ObjectShapeLWRCh1"	-0.530365454961695	-0.0726463501015683	-0.597210892139137	-0.167998145418477	-0.268127227871058	-0.324434914706006	-0.12577242462123	-0.214084428676508	-0.682487804713169	-0.172581206603392	-0.378846443356631	-0.366480145591741	-0.125386512265377	-0.368551866790716	-0.164389120041688	-0.376919030734922	-0.465407284341709	-0.420890630423253	-0.000202191661463045	-0.251586064427635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46764264714586	0	0	0	1.0929468307995	0	0	0	0	0	0	0	0	0	0	0	-1.54604865221645	0	2.46741208508511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.530568597343439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.817373210568534	0	0	0	0	0	0	0	0	0	-1.07819006238386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.70551591039132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MEAN_ObjectTotalIntenCh1"	0.942802961339883	-0.120102613842126	-0.596391975197077	-0.0154189303277448	-0.64561408552386	-1.03799648012547	0.90990844385367	-0.00552687968375981	-0.0441184683702505	-0.351586203385437	1.45456128863613	-0.659193291301127	0.688091449023344	1.60423154563499	-0.666197962643678	0.274709144705529	1.28076427249831	0.530099474152052	0.118104622126621	-0.117403672589017	0	0.872290812008134	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.33318450279608	0	0.0595796518725539	-0.123444215873302	0	0	0	0.44203542786721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.10771737635385	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75967450160993	0	0	0	0	0	0	0	0	0	0	0	0.57003075304901	0	0	0	0	0	-0.260437423155674	0	0	-1.48244731309601	0	0	0	0	-0.383155604332176	0	0	0.806063541453573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61157304755424	0	0	0	0	0	0	0	0	0
"SD_ObjectTotalIntenCh1"	0.229937638127552	0.142853234971367	-0.000976786729462159	0.268203432248571	0.142537594521711	-0.134408872503772	0.246471428090924	0.142050809508115	-0.214873303334202	0.190338273808076	0.5338601387167	0.273347584804135	0.32407268865656	0.141023032322384	0.151415412461885	0.206783082569788	0.552638282283281	0.873785849680977	0.310384072670775	0.324458246394629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.107501605456125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76306439254515	0	0	0	0	0	0	0.629074434618352	0	0	0	0	0	0	0	0.383459603672299	0	0	0	0	-0.413142828497031	0	0	0	0	0	0	0	0	0	0	0	0	0	0.590897910699675	0	0	0	0	0	0	0	0	0	0	0	0.741194375061167	0	0	0	0	0	-0.220208604258081	0	0	0	0	0	0	0	0.0199928899801629	0	0	0.281043982022058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0968289570442351	0	0	0	0	0	0	0	0	0
"SE_ObjectTotalIntenCh1"	0.43312946820482	-0.053588680776336	-0.196279418555512	0.0142453633715429	-0.169842725474089	0.133455873981547	0.308220906104469	-0.112784999328772	-0.129093640852212	0.0998333544578398	1.93785454290755	-0.0250182025563215	0.190479055245367	0.874259600789934	0.0685465285844146	-0.0438016924321759	0.664549126649279	1.50119321140821	0.0364745506980467	0.889248723600459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316562588882582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09838293617932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.34958829267454	0	0	0	0	0	0	0	0	0	0	0	0	0	0.830021537843719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0186660747195083	0	0	-1.29495573974886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.55171374188138	0	0	0	0	0	0	0	0	0	0	0	0	-0.728212935669208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CV_ObjectTotalIntenCh1"	-0.406954595590011	0.156751456834027	0.0133500315578606	0.266895536011115	0.162924270226749	0.290909230036704	-0.231980205283114	0.216178895832387	-0.388648390413343	-0.019178128990135	0.0620005015159027	0.739984909376639	0.105152101085357	-0.438734587506084	0.174393959697112	-0.153504748156975	-0.157641445810583	1.62935062267259	0.154080324411851	0.106755532815761	0	-0.375880692064221	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95389655002648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38674329937243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0878521367146133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.512245261168627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.421268026237388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MEAN_ObjectAvgIntenCh1"	-0.264199645400361	-0.439048316500514	-0.247870257947651	-0.208205390217578	-0.606991378890177	-1.92064805950632	1.6121416216682	-0.654870674508107	-1.05367383160265	0.224943877870001	1.48521722943224	-0.909873034862459	-0.195123391848177	1.43075254759646	0.435330556594166	0.187397030059987	1.94366061270412	0.0185060536528686	-0.42528100569878	0.624319868518707	0	0.951551710037337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.917423159277999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.83718894073784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156299041812512	0	0	0	-0.693231039366667	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42913122351766	0	0	0	0	0	0	0	0	0	0	0	0.833934461807732	1.47772031993175	0	0	0	0	0	0	0	0	0	1.78282159025064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.393895955889861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.50766485461119	0	0	0	0	0	0	0	0	-0.337346496283036	0	0	0	0	0	-1.48217128157635	0	0	0
"SD_ObjectAvgIntenCh1"	0.00980944516766349	0.277082968517576	0.0354911785290757	0.666506323026966	-0.30832745226291	-0.588846708992688	1.13205544484804	-0.172857612692704	-0.269555323581949	0.503284238510452	1.76646674078482	-0.147076849615046	-0.228654956144198	1.00622560813142	0.182225730413105	0.215144479034759	0.882613688202713	0.173132680762681	0.0396983738892592	0.774507436591127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.632333586377761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.576224825321505	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59729489948636	0	0	0	0	0	0	0	0	0	0	0	0	1.37165150929161	0	0	0	0	-0.318362638638662	0	0	0	0	0.6692745933846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.08320560841812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0666242341516	0	0	0	0	0	0	0	0	0
"SE_ObjectAvgIntenCh1"	0.381821859611528	0.245072567489872	0.419676809808025	0.443599488392516	0.336065656839156	0.186040180909849	0.527952088983066	0.279684284931881	0.180126552961269	0.450881026966365	0.75387959652899	0.341347443790374	0.364541427056296	0.795236243605341	0.400739398623531	0.311538636122599	0.698872787283854	0.43539468649021	0.237329040164859	0.610556445572473	0	-0.240972623657491	0	0	0.801628596033083	0	0	0	0	0	0	0	0	0	0	-0.639836030041515	0	0	1.22103225640752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64344954636014	0	0	0	0.690271394167116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.509343799267918	0	0	0	0	0	0	0	0	0	0	0	0	0	0.900141291484779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.201453882731743	0	0	-0.524501234872026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20960350405483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.655394709055247	0	0	0	0	0	0	0	0	0
"CV_ObjectAvgIntenCh1"	0.311729779269829	0.38673657578209	0.222133021042334	1.12596212167073	0.233483777968159	0.72326248708743	0.852505299508841	0.252127166096598	0.234073283132481	0.439830200193247	1.42988221315824	0.414000190633459	0.15664924489552	0.557232829697095	0.318410452192718	0.0331933894095949	0.389971876473464	0.462506988840407	0.492147955719137	0.886381893942326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.342015832615076	0.471456642703236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.702619140086808	0	0	0	0	0	0	0	0	-0.921706458617342	0	0	0	-1.18441231268493	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22934388461959	0	0	0	0	0	0	0	0	0	0	0	0	0.571966952972835	0	0	0	0	-0.213732009015109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.814264423034147	0	0	0	0	0	0	0	0	0
"MEAN_ObjectVarIntenCh1"	-0.892659666690206	-0.644519968056017	-0.812608373151782	-0.66398234504129	-1.17513856563106	-2.00160590605686	1.55647474592869	-0.989020006941299	-1.32546486205111	-0.0435567805151463	0.993070323744054	-1.55099404209297	-0.760445804805468	0.949860872150658	0.46673656003045	-0.660405654799932	1.25834302629319	-0.495450026783965	-0.792432914083973	0.516655854448364	0	1.30806850342369	0	0	0	0	0	0	0	0	0	0	0	0	0.414473493280393	0	0	0	0	0	0	0	0	0	0.880893542539569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.01863611512734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19206666544298	0	0	0	0	0	0	0	0	0	0	0	1.25730588536516	1.5834466846446	0	0	0	0	0	0	0	0	0	2.42914364630993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.971026587740367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.678704720592276	0	0	0
